id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
,,3000,3000,3000, 36 months,14.07,102.64,C,C3,cashier,< 1 year,RENT,27000,Source Verified,Mar-2018,Current,n,,,other,Other,605xx,IL,7.29,0,Jan-2008,1,,,5,0,5546,38.0,6,w,2212.81,2212.81,1126.7,1126.70,787.19,339.51,0.0,0.0,0.0,Feb-2019,102.64,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,5546,2,0,0,0,77,0,,4,4,2726,38,14600,0,0,4,4,1109,6073,44.8,0,0,77,122,4,4,0,4,,0,,0,2,5,2,2,1,5,5,5,5,0,0,0,4,100,0,0,0,14600,5546,11000,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000, 36 months,9.43,384.01,B,B1,,n/a,MORTGAGE,69000,Verified,Mar-2018,Current,n,,,credit_card,Credit card refinancing,496xx,MI,10.14,0,Oct-2001,0,59,60,8,1,5677,56.8,19,w,8684.98,8684.98,4236.68,4236.68,3315.02,921.66,0.0,0.0,0.0,Feb-2019,384.01,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,167873,0,1,1,1,10,17464,87,0,0,1504,77,10000,1,2,1,2,23982,196,88.5,0,0,119,197,26,10,2,37,,10,,0,1,4,1,3,4,6,13,4,8,0,0,0,1,93.3,100,1,0,189226,23141,1700,20199,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000, 36 months,10.41,389.53,B,B3,Shipping supervisor,10+ years,RENT,43000,Source Verified,Mar-2018,Current,n,,,other,Other,030xx,NH,24.84,0,Jun-2007,1,,,6,0,2474,45.0,9,w,8720.48,8720.48,4277.89,4277.89,3279.52,998.37,0.0,0.0,0.0,Feb-2019,389.53,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,18658,1,3,2,3,6,16184,55,0,1,1391,53,5500,3,0,3,4,3110,3026,45,0,0,129,33,13,6,0,13,,6,,0,3,3,3,3,6,3,3,3,6,0,0,0,2,100,0,0,0,35078,18658,5500,29578,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000, 36 months,7.34,310.33,A,A4,Sales delivery ,10+ years,OWN,70000,Not Verified,Mar-2018,Current,n,,,other,Other,365xx,AL,12.22,0,Mar-2000,0,58,,11,0,5673,20.3,22,w,7173.82,7173.82,3409.55,3409.55,2826.18,583.37,0.0,0.0,0.0,Feb-2019,310.33,Mar-2019,Feb-2019,0,58,1,Individual,,,,0,0,18819,0,2,1,2,8,13146,72,1,3,2585,41,27900,2,0,2,5,1882,9127,38.3,0,0,167,216,7,7,3,14,,7,59,2,4,4,4,6,7,9,12,4,11,0,0,0,2,90.9,0,0,0,46156,18819,14800,18256,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,6000,6000,6000, 36 months,13.58,203.85,C,C2,Assistant Vice President ,4 years,RENT,120000,Not Verified,Mar-2018,In Grace Period,n,,,major_purchase,Major purchase,070xx,NJ,8.44,0,Aug-2000,0,,,5,0,7213,97.5,14,w,4556.90,4556.90,2098.12,2098.12,1443.10,610.02,45.0,0.0,0.0,Feb-2019,203.85,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,26464,1,1,0,0,39,19251,56,1,1,3142,63,7400,0,0,0,1,5293,187,97.5,0,0,211,73,4,4,0,4,,14,,0,4,4,4,9,5,4,9,4,5,0,0,0,1,100,100,0,0,42058,26464,7400,34658,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,13100,13100,13100, 36 months,14.07,448.18,C,C3,Information Security Engineer,2 years,MORTGAGE,163000,Source Verified,Mar-2018,Current,n,,,debt_consolidation,Debt consolidation,851xx,AZ,18.3,0,Sep-2005,0,,89,22,1,29200,52.6,42,w,9662.78,9662.78,4919.74,4919.74,3437.22,1482.52,0.0,0.0,0.0,Feb-2019,448.18,Mar-2019,Feb-2019,0,,1,Joint App,163000,19.1,Not Verified,0,0,402547,2,7,3,5,1,89516,89,5,6,5992,71,60500,13,5,17,13,18298,15912,50.2,0,0,150,86,4,1,4,4,,1,,0,3,7,7,11,17,14,21,7,22,0,0,0,9,100,14.3,1,0,452463,118716,26900,105134,33707,Jan-2013,1,0,9,38.7,0,10,0,0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,30000,30000,30000, 60 months,15.04,714.33,C,C4,Program Manager,10+ years,MORTGAGE,163500,Verified,Mar-2018,Current,n,,,debt_consolidation,Debt consolidation,207xx,MD,13.26,0,Jan-1998,1,55,,10,0,3517,70.3,18,w,26036.15,26036.15,7832.56,7832.56,3963.85,3868.71,0.0,0.0,0.0,Feb-2019,714.33,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,403089,1,5,0,2,13,57500,55,1,1,1380,57,5000,2,4,1,4,40309,272,90.9,0,0,131,242,4,4,2,40,,4,,0,2,4,2,2,10,4,6,4,10,0,0,0,1,77.8,100,0,0,434751,61017,3000,81951,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,9000,9000,9000, 36 months,7.96,281.87,A,A5,Chaplain/Bereavement,6 years,MORTGAGE,78000,Source Verified,Mar-2018,In Grace Period,n,,,debt_consolidation,Debt consolidation,950xx,CA,4.86,1,Mar-1999,0,7,,8,0,4929,14.7,26,w,6711.52,6711.52,2814.72,2814.72,2288.48,526.24,0.0,0.0,0.0,Jan-2019,281.87,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,544623,1,1,1,1,7,12121,51,0,1,2791,30,33500,5,0,4,4,68078,20413,15.6,0,0,171,228,22,4,3,36,7,5,7,0,2,3,4,9,7,6,16,3,8,0,0,0,2,96,0,0,0,586203,17050,24200,23603,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,20000,20000,20000, 60 months,17.47,502.12,D,D1,Machine Operator,< 1 year,MORTGAGE,35000,Not Verified,Mar-2018,Current,n,,,debt_consolidation,Debt consolidation,040xx,ME,33.47,0,Oct-1999,0,,,8,0,15049,85.0,13,w,17503.00,17503.00,5503.91,5503.91,2497.00,3006.91,0.0,0.0,0.0,Feb-2019,502.12,Mar-2019,Feb-2019,0,,1,Joint App,100000,12.82,Not Verified,0,0,175580,0,1,0,1,17,30259,,1,1,5121,85,17700,4,0,5,2,21948,2019,84.9,0,0,197,221,12,12,1,12,,2,,0,4,6,4,4,4,6,8,6,8,0,0,0,1,100,75,0,0,189655,45308,13400,37044,17253,Oct-1999,0,0,5,91.7,1,6,0,0,13,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,40000,40000,40000, 36 months,14.07,1368.47,C,C3,Registered Nurse,10+ years,MORTGAGE,60000,Source Verified,Mar-2018,Current,n,,,debt_consolidation,Debt consolidation,015xx,MA,16.62,0,Oct-1995,0,44,,14,0,14328,35.8,34,w,29504.89,29504.89,15034.61,15034.61,10495.11,4539.50,0.0,0.0,0.0,Feb-2019,1368.47,Mar-2019,Feb-2019,0,44,1,Joint App,145000,17.23,Source Verified,0,0,63960,1,6,1,5,6,49632,84,0,2,4529,65,40000,0,2,2,7,4920,11442,44.2,0,0,269,161,23,6,3,33,,7,,2,3,5,4,8,17,8,14,5,14,0,0,0,1,94.1,66.7,0,0,98941,63960,20500,58941,51161,Apr-2007,1,3,15,61.3,6,9,0,0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000, 36 months,7.96,313.18,A,A5,Program Representative,3 years,RENT,56900,Source Verified,Mar-2018,Current,n,,,credit_card,Credit card refinancing,063xx,CT,27.17,0,Aug-2010,1,,,10,0,17490,70.0,11,w,7192.81,7192.81,3440.56,3440.56,2807.19,633.37,0.0,0.0,0.0,Feb-2019,313.18,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,59250,2,5,0,0,29,41760,77,3,3,9672,75,25000,0,0,1,3,5925,6768,69.9,0,0,91,91,3,3,0,4,,3,,0,4,5,4,4,5,5,6,5,10,0,0,0,3,100,25,0,0,79165,59250,22500,54165,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,6425,6425,6425, 36 months,6.71,197.54,A,A3,,n/a,RENT,65000,Verified,Mar-2018,Current,n,,,home_improvement,Home improvement,112xx,NY,0.65,0,Dec-1986,0,36,,8,0,167,0.4,23,w,3994.70,3994.70,2735.3,2735.30,2430.30,305.00,0.0,0.0,0.0,Feb-2019,200.0,Mar-2019,Feb-2019,0,36,1,Individual,,,,0,0,456501,0,0,0,0,49,0,,0,0,167,0,47700,0,4,4,0,57063,36733,0.5,0,0,101,375,45,45,1,46,,1,,0,1,1,5,7,6,7,15,1,8,0,0,0,0,95.7,0,0,0,578884,167,36900,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000, 36 months,5.31,301.11,A,A1,"VP, Asset Management",< 1 year,RENT,80000,Not Verified,Mar-2018,Fully Paid,n,,,debt_consolidation,Debt consolidation,112xx,NY,3.91,0,Jul-2005,0,,,3,0,9173,23.0,4,f,0.00,0.00,10217.6656624037,10217.67,10000.00,217.67,0.0,0.0,0.0,Dec-2018,1.91,,Dec-2018,0,,1,Individual,,,,0,0,9173,0,0,0,0,,0,,0,0,6022,23,39900,0,0,0,0,3058,30727,23,0,0,,151,26,26,0,26,,,,0,3,3,3,3,0,3,4,3,3,0,0,0,0,100,0,0,0,39900,9173,39900,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000, 60 months,20.39,320.54,D,D4,Litigation Paralegal,3 years,MORTGAGE,52000,Not Verified,Mar-2018,Current,n,,,debt_consolidation,Debt consolidation,342xx,FL,22.46,0,Mar-2003,0,29,,7,0,7989,74.0,19,w,10602.21,10602.21,3512.35,3512.35,1397.79,2114.56,0.0,0.0,0.0,Feb-2019,320.54,Mar-2019,Feb-2019,0,49,1,Individual,,,,0,0,279958,0,2,1,1,10,74662,,1,1,1810,74,10800,1,0,4,4,39994,2516,52.5,0,0,153,180,11,10,3,160,74,10,73,3,3,4,3,6,6,4,10,4,7,0,0,0,2,47.4,66.7,0,0,281722,82651,5300,70628,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000, 36 months,7.96,313.18,A,A5,sonographer,10+ years,OWN,67000,Not Verified,Mar-2018,Current,n,,,other,Other,720xx,AR,17.05,0,Sep-1996,0,63,,17,0,11239,27.6,35,w,7192.81,7192.81,3440.56,3440.56,2807.19,633.37,0.0,0.0,0.0,Feb-2019,313.18,Mar-2019,Feb-2019,0,73,1,Individual,,,,0,0,180648,0,2,1,2,7,29767,85,1,1,3648,54,40700,3,0,3,4,12043,17096,35.7,0,0,234,233,12,7,3,12,,7,74,1,6,7,7,10,14,13,18,7,17,0,0,0,2,91.4,0,0,0,229258,41006,26600,34988,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,40000,40000,40000, 60 months,11.98,889.38,B,B5,Manufacturing Engineering Manager,10+ years,MORTGAGE,115000,Source Verified,Mar-2018,Current,n,,,debt_consolidation,Debt consolidation,404xx,KY,24.12,0,Aug-1999,0,,,14,0,18327,35.4,24,w,34332.18,34332.18,9708.73,9708.73,5667.82,4040.91,0.0,0.0,0.0,Feb-2019,889.38,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,316758,1,7,2,4,10,114669,95,1,1,17276,77,51800,2,0,2,5,22626,22406,44,0,0,140,222,4,4,4,132,,11,,0,2,3,3,5,11,6,9,3,14,0,0,0,3,100,33.3,0,0,380274,132996,40000,120904,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,25000,25000,25000, 60 months,9.92,530.2,B,B2,"Inventory Specialist, Purchasing",10+ years,MORTGAGE,66000,Not Verified,Mar-2018,In Grace Period,n,,,home_improvement,Home improvement,850xx,AZ,26.4,0,Aug-2005,0,,,12,0,12940,31.0,19,w,21641.62,21641.62,5288.22,5288.22,3358.38,1929.84,0.0,0.0,0.0,Jan-2019,530.2,Mar-2019,Feb-2019,0,,1,Joint App,79000,23.19,Not Verified,0,0,192654,1,4,1,1,11,31563,50,4,4,3314,43,41800,1,1,3,6,16055,26807,27.2,0,0,151,119,4,4,1,4,,10,,0,5,7,5,5,10,7,8,7,12,0,0,0,5,100,0,0,0,256583,44503,36800,62591,19710,Apr-2008,0,1,3,30.6,0,3,0,0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,11500,11500,11500, 36 months,16.01,404.37,C,C5,Sheriff Sergeant,4 years,MORTGAGE,155000,Not Verified,Mar-2018,Current,n,,,debt_consolidation,Debt consolidation,957xx,CA,31.3,0,Apr-2003,3,36,,19,0,20620,67.4,32,w,8547.94,8547.94,4437.84,4437.84,2952.06,1485.78,0.0,0.0,0.0,Feb-2019,404.37,Mar-2019,Feb-2019,0,36,1,Joint App,245000,20.98,Not Verified,0,0,784228,3,8,3,6,2,300056,86,1,2,8419,82,31100,5,6,4,10,41275,3314,87.2,0,0,179,178,3,2,2,3,,2,,2,6,9,7,7,20,10,10,9,19,0,0,0,4,93.5,42.9,0,0,766573,320676,22400,259258,99419,Apr-2003,1,2,20,51.6,7,12,0,0,36,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,7500,7500,7500, 36 months,12.61,251.3,C,C1,Journeyman,10+ years,RENT,112000,Not Verified,Mar-2018,Current,n,,,credit_card,Credit card refinancing,088xx,NJ,11.49,1,Dec-2002,0,9,,13,0,15057,47.3,20,w,5499.74,5499.74,2759.05,2759.05,2000.26,758.79,0.0,0.0,0.0,Feb-2019,251.3,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,43622,1,3,3,3,8,28565,65,2,3,2822,57,31800,1,0,2,6,3356,15059,49.8,0,0,91,183,5,5,0,5,,11,,0,8,9,9,9,10,10,10,9,13,0,0,0,5,90,11.1,0,0,75939,43622,30000,44139,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000, 36 months,9.43,320.01,B,B1,Server,< 1 year,RENT,30000,Not Verified,Mar-2018,Current,n,,,debt_consolidation,Debt consolidation,337xx,FL,26.44,0,Apr-2013,0,,,11,0,3129,34.0,20,w,7237.46,7237.46,3514.87,3514.87,2762.54,752.33,0.0,0.0,0.0,Feb-2019,320.01,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,28740,2,7,3,3,6,25611,71,0,3,2526,63,9200,1,1,0,6,2613,4571,40.6,0,0,55,59,23,6,0,23,,18,,0,2,2,3,9,8,4,12,2,11,0,0,0,3,100,0,0,0,45481,28740,7700,36281,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,30000,30000,30000, 36 months,14.07,1026.35,C,C3,IT Associate,1 year,OWN,65000,Not Verified,Mar-2018,Current,n,,,debt_consolidation,Debt consolidation,029xx,RI,20.49,0,Sep-2011,0,28,,10,0,5702,34.3,15,w,22128.70,22128.70,11288.79,11288.79,7871.30,3417.49,0.0,0.0,0.0,Feb-2019,1026.35,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,29626,0,3,1,5,7,23924,81,0,0,2578,64,16600,4,1,1,5,2963,5706,40.6,0,0,78,73,27,7,0,46,,7,,0,3,5,3,3,8,7,7,5,10,0,0,0,1,93.3,33.3,0,0,46030,29626,9600,29430,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
